"","total_genusmass","simpson","shannon","richness","Bacteria","Eukaryota","Viruses"
"sample_131",-2.97102252622809,0.614464099895942,1.15111881526426,0,0.000931064019962013,0.000137935410364743,0
"sample_132",-1.44493825248496,0.513512025091694,1.28407215076697,3,0.032621529755481,0.00327576718467465,0
"sample_133",0.97336856582536,0.0192529063422657,0.0778441466508168,12,9.39330924813941,0.0115368897310584,0
"sample_134",0.0262737578595376,0.722880452156804,1.58425448845327,13,1.06236500877945,0,0
"sample_135",-0.743250091508245,0.717340646098249,1.65048523638102,11,0.153137802155081,0.0269977369684552,0
"sample_136",0.178105676362324,0.848311961817972,2.3146929788837,35,1.50352767474411,0.000175366879482158,0
"sample_137",1.12954172749594,0.382379301496579,0.617906116870155,8,13.4268777726428,0.00023703808050626,0.0403811301433877
"sample_138",-2.39517901660363,0,0,1,0.00402551068184175,0,0
"sample_139",-2.32349861503443,0.664835448399079,1.09590246073929,3,0.0030022708465895,0,0
"sample_140",-0.328503541382127,0.621630139684227,1.30673813032636,11,0.24269706134869,0.225169404190414,0
"sample_141",-0.139083616848688,0.420689281585925,0.987930248477586,11,0.722078542160441,0.00109133589282002,0
"sample_142",1.02456175021612,0.804824589709283,1.90622393226568,32,10.5396082218519,0.0403884721087425,0
"sample_143",-0.373148461994904,0.560285493225174,1.36882633535657,12,0.419090387248422,0.000602685566886044,0
"sample_144",0.701518951706386,0.658318413927599,1.34262504402045,17,4.9636482654207,0.0619578733376306,0
"sample_145",2.31315850010657,0.17612500777677,0.36110175713364,17,205.66377581344,0,0
"sample_146",-1.52332469740006,0.669565592301194,1.26830574680861,4,0.0299692105295848,0,0
"sample_147",1.67356108812826,0.0372519992962081,0.126853611946944,24,47.1361946577781,0.0188200042452993,0
"sample_148",-0.260152598741266,0.569522196149374,1.66851044255281,28,0.545401631918055,0.00166840481256444,0
"sample_149",2.4468773002042,0.289421710134672,0.861397139146851,79,279.732060831585,0.000519888327987148,0
"sample_150",1.91317370171637,0.00408806019048324,0.0184534140505631,10,81.8757790454831,0,0
"sample_151",2.62042972369229,0.130797002727598,0.346042260194989,63,416.646610862908,0.536482367388431,0.0242611380679312
"sample_152",-1.47305973998326,0.924745946725471,2.78682368738953,11,0.022925996288502,0.00363958603664905,0.00458904326360097
"sample_153",1.58238713727893,0.54291650480369,1.1331001236067,24,36.2025809557154,2.01702650249534,0.00116165605687468
"sample_154",1.67378791934949,0.467211294464201,0.756935987800343,19,46.0844497364843,0,1.09614832306858
"sample_155",1.96335409943843,0.596034385095862,1.54670608541915,70,91.7645683587571,0.00183398476472176,0.000586875124710964
"sample_156",1.2983698074165,0.393644894807111,0.655497062475662,6,19.8167414026764,0.00080422860275213,0.0583944822723166
"sample_157",1.08932206357442,0.735143360942317,1.47552195548624,27,10.5769009585872,1.7026678641879,0.00392929367016985
"sample_158",-0.331493927119108,0.280316172647307,0.624898146330419,4,0.0359243162891909,0.0372096981617369,0.392994931537938
"sample_159",-1.88964416900641,0.859935143649401,2.12205861308342,4,0.00867910130896198,0.00182709173154445,0
"sample_160",-0.310271308260196,0.666073965034603,1.3473226469328,9,0.316270170663135,0.168456330029869,0
"sample_161",0.585072658435892,0.569161440834761,1.26127660166096,38,3.82459529152972,0.00297558134471277,0
"sample_162",0.672855946757669,0.723976018467776,1.59044434337179,28,4.52677625820363,0.0704285885367206,0.000588421698007059
"sample_163",-1.24012251104545,0.857054930914914,2.64905872852168,13,0.0528669358424402,0,0
"sample_164",0.338111537688367,0.61192259024527,1.30015122241927,23,1.07045240442067,0,1.10254877439865
"sample_165",1.02471903656204,0.350875292776913,0.633931289455085,22,10.585686708358,0,0
"sample_166",-2.33832342459952,0.883429062244425,2.2045859310258,0,0.00401883820336429,0,0
"sample_167",1.7394554351389,0.338024645745182,0.651825650429987,29,54.8758568190802,0,0
"sample_168",1.45121285532342,0.53500933073283,0.866502993434456,19,27.6050778429325,0.647241739260737,0.00145522750056592
"sample_169",0.175800819963867,0.0785842696164545,0.250104229838289,12,0.0563591452165119,0,0
"sample_170",0.602611124847012,0.790916777807593,1.86349789374524,22,4.00221865021175,0.00202269530932479,0
"sample_171",0.299862443528985,0.685635677891691,1.57224437667532,21,1.98677646434828,0.00248675801357769,0
"sample_172",2.34900137174671,0.0932847455030923,0.241906886057272,23,223.23805472118,0.00552680500427071,0
"sample_173",-1.30066229404708,0.848334269737259,2.24566236327967,12,0.0273396433043953,0.00548386789123821,0.00095371615499795
"sample_174",2.61844184363731,0.103456368651968,0.295771886467135,55,412.960284734647,0.115207642359976,2.07835053954314
