"","HALLMARK_ADIPOGENESIS","HALLMARK_ALLOGRAFT_REJECTION","HALLMARK_ANDROGEN_RESPONSE","HALLMARK_ANGIOGENESIS","HALLMARK_APICAL_JUNCTION","HALLMARK_APICAL_SURFACE","HALLMARK_APOPTOSIS","HALLMARK_BILE_ACID_METABOLISM","HALLMARK_CHOLESTEROL_HOMEOSTASIS","HALLMARK_COAGULATION","HALLMARK_COMPLEMENT","HALLMARK_DNA_REPAIR","HALLMARK_E2F_TARGETS","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_ESTROGEN_RESPONSE_EARLY","HALLMARK_ESTROGEN_RESPONSE_LATE","HALLMARK_FATTY_ACID_METABOLISM","HALLMARK_G2M_CHECKPOINT","HALLMARK_GLYCOLYSIS","HALLMARK_HEDGEHOG_SIGNALING","HALLMARK_HEME_METABOLISM","HALLMARK_HYPOXIA","HALLMARK_IL2_STAT5_SIGNALING","HALLMARK_IL6_JAK_STAT3_SIGNALING","HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_KRAS_SIGNALING_DN","HALLMARK_KRAS_SIGNALING_UP","HALLMARK_MITOTIC_SPINDLE","HALLMARK_MTORC1_SIGNALING","HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V2","HALLMARK_MYOGENESIS","HALLMARK_NOTCH_SIGNALING","HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_P53_PATHWAY","HALLMARK_PANCREAS_BETA_CELLS","HALLMARK_PEROXISOME","HALLMARK_PI3K_AKT_MTOR_SIGNALING","HALLMARK_PROTEIN_SECRETION","HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY","HALLMARK_SPERMATOGENESIS","HALLMARK_TGF_BETA_SIGNALING","HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_UNFOLDED_PROTEIN_RESPONSE","HALLMARK_UV_RESPONSE_DN","HALLMARK_UV_RESPONSE_UP","HALLMARK_WNT_BETA_CATENIN_SIGNALING","HALLMARK_XENOBIOTIC_METABOLISM"
"sample_40_Nasal",-0.254767576,0.013874629,-0.116602188,-0.089580384,-0.039656124,0.314252746,-0.265756706,0.147828025,-0.28038323,-0.077400462,-0.029487699,-0.319839558,-0.135293467,-0.03775137,-0.1153672,-0.183964522,-0.421285522,-0.066698377,-0.277598256,0.355207984,-0.154756186,-0.086012839,-0.040181882,-0.089551103,-0.224967862,-0.46517941,-0.357115268,0.033839013,-0.090996969,0.030998999,-0.252209317,-0.4088082,-0.128223267,0.092882011,-0.210197412,-0.440226445,-0.338279345,0.335564036,-0.175457309,-0.182907004,-0.326882067,-0.467307033,0.018564216,-0.426801036,-0.323193891,-0.35137695,-0.062339549,-0.147268238,-0.251486423,-0.101524244
"sample_41_Nasal",0.259485355,-0.327714418,0.395326014,0.049668436,0.002835005,0.086653825,0.31160526,-0.069403353,0.256767476,-0.022804097,-0.161497073,0.227777807,0.174814037,-0.007579261,0.325865079,0.251754532,0.269777873,0.238440973,0.16762885,-0.064171543,0.134644453,0.155800953,-0.05738114,-0.163957605,-0.213266104,-0.260917196,-0.240029125,-0.017976333,-0.182732146,0.099358442,0.279638518,0.470841897,0.35522363,-0.027897827,0.021794501,0.403532311,0.351513928,-0.370491718,0.24578266,0.150024169,0.404646415,0.339863922,-0.09511546,0.298460594,0.337675101,0.344214177,0.285281824,0.305544481,0.049696034,0.158648377
"sample_42_Nasal",0.275989328,-0.307226299,0.487512438,-0.202170694,-0.067476225,0.06509269,0.311140516,-0.004287517,0.448781443,-0.100300663,-0.087400089,0.329203746,0.18326537,-0.28106666,0.25817989,0.254886462,0.314979029,0.343861943,0.326109097,-0.291792089,0.23903264,0.145494884,0.001382236,0.036133569,-0.17201734,0.55884578,0.385731165,-0.14524527,-0.147544944,0.294831159,0.408257405,0.418515448,-0.155702437,-0.205446943,0.291065375,0.501190171,0.356522763,-0.346555038,0.321514615,0.380026647,0.487034211,0.4368149,-0.313787233,0.357139082,-0.040565893,0.364330362,0.149903083,0.201494137,-0.213244686,0.068422114
"sample_43_Nasal",-0.333914783,-0.275018895,-0.296771412,-0.008481473,0.044477326,0.259325308,-0.359940658,0.058143708,-0.421543283,-0.024463308,-0.253390946,-0.410488656,-0.22119891,0.15154982,-0.075806701,-0.036087171,-0.348243824,-0.187918985,-0.143079262,0.188520315,-0.250656822,-0.146649722,-0.273835335,-0.449323734,-0.328520875,-0.57895381,-0.496548041,0.368776235,0.008196433,-0.160247463,-0.426326243,-0.438424495,-0.294835168,0.241508306,-0.203041104,-0.486183004,-0.382654166,0.267700846,-0.31537539,-0.3729556,-0.405356989,-0.431169326,0.312946106,-0.425079339,-0.461324681,-0.39810328,-0.129168779,-0.258819171,-0.161836582,-0.07536293
"sample_44_Nasal",0.018684598,-0.210614349,0.214112595,-0.100403583,0.125837521,0.294975961,-0.042805552,-0.064333971,-0.146733599,-0.088708984,-0.087741067,-0.06866912,-0.179284221,0.03615136,0.171524225,0.253383903,0.009437264,-0.121367446,0.055382543,-0.020638338,0.054635085,0.033041943,-0.047236259,-0.24728824,-0.038412408,0.299209371,0.054940363,0.286828393,0.053339677,-0.128089116,-0.084968265,0.006548124,0.039566971,0.173103556,-0.042897955,-0.163351607,-0.002775724,0.344921398,-0.088268151,-0.087615776,-0.277286353,-0.071248938,-0.048807163,-0.2230012,-0.141141798,-0.088092866,-0.097089581,-0.022476861,-0.043147931,0.005775916
"sample_45_Nasal",0.281172718,-0.358044182,0.451768976,-0.18536525,-0.199744552,-0.181987143,0.061030091,0.054758052,0.342219933,-0.226663575,-0.297599403,0.399504619,0.3978454,-0.347151388,0.071997644,0.152685292,0.425618702,0.364639187,0.154156905,-0.285766123,0.142129769,-0.078591023,-0.188963594,-0.368245074,-0.422577524,-0.02465782,-0.078914563,-0.267246591,-0.281488731,0.309204913,0.408721791,0.618346267,0.244030785,-0.321769317,0.15884217,0.605055451,0.201357779,-0.255193035,0.430394756,0.251315625,0.571442602,0.357624324,0.039675124,0.208566739,-0.361084119,0.396491889,0.235700222,0.057563684,0.074698975,0.064140544
"sample_46_Nasal",-0.192101007,0.369250895,0.076310454,-0.05311126,0.219834645,0.347050048,0.286857876,0.109586286,-0.020067801,0.19479693,0.361068054,-0.291458848,-0.291478363,0.258967208,0.186722631,0.176476813,-0.094722086,-0.169844426,-0.007059455,-0.127000508,-0.000534431,0.237188851,0.27598804,0.475370661,0.42933039,0.430348833,0.42146686,0.301334339,0.264913261,-0.184328656,0.122219563,-0.08685618,-0.202100981,0.312542348,-0.018709691,-0.321553694,0.256957291,0.125898997,-0.004545939,0.19412013,-0.281826588,0.27476363,0.090425826,0.03235314,0.484005315,0.04215981,-0.073570099,0.055512048,0.060901362,0.022666318
"sample_47_Nasal",0.233276024,-0.311356487,0.425891929,-0.068920219,-0.017166666,0.043711307,0.202483018,-0.104276473,0.252032353,-0.067039635,-0.131849012,0.210297217,0.277319622,-0.162650451,0.225335377,0.291457487,0.208686508,0.357675694,0.39911939,0.052990044,0.180708979,0.237700364,-0.020297782,-0.316117906,-0.330877818,-0.343284762,-0.215992965,-0.069887698,-0.144280682,0.331102659,0.327355247,0.530261915,0.093619644,-0.05143976,-0.050193754,0.462658715,0.203255953,-0.071223807,0.238977629,0.089543938,0.476314049,0.304777279,-0.050774666,0.270382261,-0.209168093,0.304670323,0.231236054,0.209066333,-0.011821353,0.077781645
"sample_48_Nasal",-0.026793622,0.592113277,-0.018030681,0.226113377,0.186589361,0.202820866,0.425614057,-0.099316127,0.269801741,0.136458557,0.360930133,0.142195392,-0.203743648,-0.116439464,0.230659882,0.120204142,-0.133766625,-0.021017293,0.135220152,-0.019191509,0.074937356,0.389007445,0.37837954,0.545586143,0.561983723,0.723847177,0.706527794,-0.023639587,0.205637561,0.066357549,0.275859893,0.210825234,0.004143039,0.093685044,0.136531278,-0.098446174,0.318289137,-0.317963767,-0.104781883,0.343936312,-0.093118646,0.410598497,-0.220287181,0.380405157,0.671454315,0.183740267,-0.038386257,0.304609622,0.271840857,-0.01855583
"sample_49_Nasal",0.186047252,-0.121680179,0.446492969,-0.020883109,-0.096774052,0.156062632,0.194395999,-0.036828184,0.276003252,-0.026655886,-0.042440394,0.204814988,0.022514211,-0.266998728,0.23782622,0.237401431,0.155022691,0.007289065,0.208642651,-0.109250729,0.148352597,0.1520963,-0.129644116,-0.195329051,-0.229711394,0.234194512,0.178098046,0.070368967,-0.09547612,0.16802462,0.23914475,0.307342973,-0.032564031,-0.223824036,-0.225026118,0.356033307,0.280575799,-0.185517037,0.089154186,0.150321277,0.50936185,0.338309969,-0.240385919,0.315822803,0.134127054,0.236406532,0.194987706,0.124858602,-0.23309912,0.074546421
