"","Epithelial...AT1","Epithelial...AT2","Epithelial...Basal","Epithelial...Ciliated","Epithelial...Goblet","Epithelial...Ionocyte","Epithelial...Mucous","Epithelial...Myoepithelial","Epithelial...Neuroendocrine","Epithelial...Resp.Airway.Secretory","Epithelial...Secretory","Epithelial...Serous","Epithelial...SMG.Basal.Duct","Lymphoid...B.cell","Lymphoid...CD4.T.cell","Lymphoid...CD8.T.cell","Lymphoid...NK.NKT","Lymphoid...Plasma.celll","Lymphoid...Regulatory.T.cell","Myeloid...Alveolar.Macrophage","Myeloid...cDC1","Myeloid...cDC2","Myeloid...Inflammatory.Monocyte","Myeloid...maDC","Myeloid...Mast.Basophil","Myeloid...Neutrophil","Myeloid...Patrolling.Monocyte","Myeloid...pDC"
"sample_27",0.0373499287398035,0.0339853715461838,0.0441439539411216,0.0606436469955437,0.0703928202936059,0.0199095396838731,0.0305637489573703,0.0365564466660582,0.0286916605735805,0.0112556985187669,0,0.0246404714691523,0.079454618918383,0.0230950215881215,0.0168491012291676,0.0321315978585534,0.0352604079840597,0.0238006452282153,0.0138176200409396,0.10608595817323,0.0321305855745012,0.0222245258932455,0.0441511740213308,0.0252701488001193,0.0283112707100877,0.00811370913893529,0.0821861342727984,0.0289841931832518
"sample_28",0.100296357463058,0.0863344918735958,0.0466111860927555,0.0866208322596928,0,0.0348965510379651,0.049254018490126,0.0451512753454757,0.0493998014117204,0,0.00948840558022006,0,0.0400301648994176,0.0765058524451667,0.0788981741435024,0,0.032104465632088,0.0493230910180543,0.0366191020093116,0,0.0400911231451397,0.00695366718748597,0.0227434519527117,0.0230250149147349,0.0261568347406577,0,0.0287464484775725,0.0307496898795471
"sample_29",0.0887844718347785,0.0591264923667345,0.0718269341236064,0.0651890083040794,0.0133732588065248,0.0358370869830224,0.0647877497110637,0.0586419232460111,0.0523816855063022,0,0,0,0.073644926990869,0.0461183501526934,0.0477392759308035,0,0.0503686714909364,0.0261247746360433,0.0323384837827146,0,0.0367157541682033,0.0180153127975401,0.0194830290629606,0.0320773387516812,0.0172115674858361,0,0.0405113157895276,0.0497025880780678
"sample_30",0.08084015282909,0.0556187911457607,0.0719980363687053,0.0644414464478206,0.0173561872756315,0.0340558545565978,0.0834383189337175,0.0567160548677689,0.0536962006919966,0,0,0,0.0835562364351037,0.036829768258488,0.0381545708333784,0,0.0533271892773482,0.0170687764314949,0.0286986951403046,0,0.0396814175060534,0.00626328952689807,0.0221292229050893,0.0338036887431993,0.0147377410560569,0,0.0487011550619073,0.058887205707589
"sample_31",0.0531762596401556,0.0517766410537975,0.061780959242245,0.0791497722038021,0.0662576514215192,0.0183293336954879,0.0640455523754883,0.0564663049652032,0.0256027733937601,0,0.0125232085044674,0.00872650151202111,0.0599196263088106,0.0279379900855165,0.0155055620482241,0.024528927308059,0.0429022045014132,0.0253551947864466,0.0198315727949234,0.0447807861184924,0.0376525504873284,0.0148992857040755,0.0389348632506215,0.0283007986465255,0.0110069837381033,0,0.0675116113464482,0.0430970848670647
"sample_32",0.0253374081974166,0.0274465340861382,0.0358337525129454,0.0270804712344854,0.0245867758897944,0.0216657585736931,0.0350136289134269,0.0378813262383467,0.0261373644755233,0.0136149794166535,0,0.0119628098193576,0.0482528114284356,0.0297020804557024,0.0238060190544785,0.0754000590763245,0.0269153520010046,0.0316707664335465,0.0193091474948673,0.11509479268948,0.0313815991047186,0.0429891298539429,0.0250657549965173,0.0259453445668641,0.0233808447846808,0.0175341263840371,0.144681731266778,0.0323096310508414
"sample_33",0.0696738515823979,0.0613947720130495,0.0591687986778566,0.0848984490548362,0.0506677724128446,0.02854744673312,0.0611243298250244,0.048472498357854,0.0468945542544218,0,0.0368527526556573,0,0.0733835306622927,0.0330670483686247,0.0285380067691735,0,0.0391374132425188,0.0189360955076627,0.0267128396180324,0.00717993402869908,0.0374743740531107,0.0257317004296234,0.0181523496620669,0.0335516989353956,0.0265386812039776,0,0.0375949250831349,0.046306176868625
"sample_34",0.0630768027428482,0.0511718857419698,0.0573157464200691,0.0565674461746187,0.0416515510012005,0.0288365213155676,0.0580979162003983,0.0722340395136537,0.0412297487757603,0,0,0,0.0753242879099213,0.0330268011514603,0.0247690862350781,0,0.0616734091168696,0.0216803174718142,0.0255740369048703,0,0.0323297878986588,0,0.0556882353532538,0.0437084184163088,0.00816121000331727,0.0285317341910736,0.073076991115659,0.0462740263456284
"sample_35",0.0224897626522936,0.0298975492479757,0.0390058546999389,0.0572563950465717,0.0286136294450288,0.0177148899475925,0.0372280622617238,0.0271337327268088,0.0229117992746069,0.0129098644215951,0,0.00178525590603903,0.0650526126062477,0.0240801074164059,0.0266318691016775,0.0408768753770399,0.0316612626597752,0.0350214818155272,0.0130588613418587,0.172835902110327,0.0294576567414832,0.0231930633831482,0.0424633899650981,0.0141250080805561,0.0207359811844647,0.00184148506957361,0.140326370502275,0.0216912770143678
"sample_36",0.0920757067012221,0.0659355610519845,0.0570871109622255,0.0823765108178308,0.00508599479399507,0.0347387536702426,0.0671985826757417,0.0497972474027669,0.045187064769686,0,0,0,0.0667174421093812,0.0514835445871193,0.0534194208432835,0,0.0352327834580286,0.0364276281543092,0.0353301303978545,0,0.0307436872830195,0.0272926883504733,0.0196539033117035,0.0344066956408448,0.0243155227199425,0,0.0455622628208328,0.0399317574775122
