"","Epithelial...Basal","Epithelial...Ciliated","Epithelial...Club","Epithelial...Deuterosomal","Epithelial...Duct","Epithelial...Goblet","Epithelial...Hillock","Epithelial...Secretory","Epithelial...Squamous","Epithelial...Transitional","Lymphoid...B.cell","Lymphoid...CD4.T.cell","Lymphoid...CD8.T.cell","Lymphoid...Naive.T.cell","Lymphoid...NK.NKT","Myeloid...Dendritic","Myeloid...Macrophage","Myeloid...Mast","Myeloid...Monocyte","Myeloid...Neutrophil"
"sample_11",0.0247481084809632,0.269973345985758,0.147741623925212,0.0485396883515437,0,0.0145390913735023,0.0259778235065695,0.0356212537801628,0.0345630995178554,0.0197702807107744,0.0298040841151268,0.0678365434133631,0.0311011061088668,0,0.0840869458443472,0.0774176194232708,0.0516045764270437,0.0155138192519968,0.0090024990169007,0.012158490766742
"sample_12",0.030241201972778,0.0220408720938136,0,0.108372174068989,0.00618816895980599,0,0.0299094165568987,0.103089327182258,0.13240545165248,0,0.0629839922319167,0.0508690785694334,0.0602267656270434,0.00354767584677469,0.0936602090471002,0.0867444258251489,0.0871940271828706,0.0352766624203908,0.0308707409425487,0.056379809819749
"sample_13",0.0515438443974886,0.051059086082218,0,0.0786402824227948,0.0229010765360727,0.0194361723140393,0.0197352246374216,0.100532619624758,0.0139236793102639,0,0.0496184014547803,0.0791499795559176,0.0517467161249251,0,0.112353745600604,0.0879652211852998,0.0957148270218396,0.0270302244949387,0,0.138648899236638
"sample_14",0.0457382648013884,0.206507010739681,0.0435820048215009,0.0912393197528428,0.0194535665932915,0,0.0136606669612012,0.0894216300058054,0.0476037803470405,0.137305072418972,0.0388112947677449,0.0414346527074564,0.0187059726736956,0.0215499806669519,0.0453964013654805,0.0492504915862031,0.0543022852470287,0.014846327538023,0.00378767337180693,0.0174036036338848
"sample_15",0.0509597284500031,0.154802019410983,0.0717209069856663,0.0689544085670409,0.0270487744857273,0.0635526123269931,0.116263054126151,0.00422431672425659,0.0483503110266682,0,0.0322558982666238,0.0481350543464042,0.0249751957639624,0.00490847378094974,0.0562110987594609,0.0653452684440145,0.106576278162317,0.0110220563278842,0.0269792773405144,0.0177152667043796
"sample_16",0.0597778952223218,0.0654986565414885,0,0.0923383005492177,0.0115840120278278,0.0182552621191252,0.0605829393246092,0.208085831602116,0.0384948180440873,0.11311842964697,0.0387999351063863,0.035174222223427,0.0338557233718935,0.0163580281789376,0.0458519435760858,0.0532332887545472,0.0506174082528259,0.0240651711186175,0.0189136981059146,0.015394436233602
"sample_17",0.0544305805776482,0.0633671889862719,0,0.0844627999460984,0.01917959160243,0,0.0171829916907941,0.0681310996899891,0.0203035863750216,0,0.0611225187234493,0.0817939082164391,0.0333230831059564,0.00122235441762381,0.0839013573359024,0.0759932503536844,0.0681817526524254,0.0322981096806726,0.0343990763952459,0.200706750250347
"sample_18",0.0171011638138816,0.0254562142987674,0,0.10863815045645,0.0288919621348892,0.218618925012963,0.0237119753196654,0.12349693144138,0.0467050804592898,0.0746518056352582,0.0299062846615833,0.0369206746540614,0.0302310830282493,0.0158911741847586,0.0428666924970858,0.0529269493875381,0.0617075066145721,0.0158470374717725,0.0232165442288018,0.0232138446990315
"sample_19",0.0497288622545558,0.0317187933684038,0,0.0493683217096681,0.0097871280495417,0.194697084183587,0.0229896153308838,0.162042533030398,0.031707964249605,0.09439928753431,0.0323661260759046,0.0381052588689843,0.0535117581574704,0.0171405337398956,0.0500275980050884,0.0498801867995427,0.0601344948169769,0.0184515544474538,0.0164436138525517,0.0174992855251778
"sample_20",0.0214155039030708,0,0,0.0400809247616543,0.028947413953748,0.245318944992978,0.0698540575679562,0.166847725461132,0.0719834303374266,0.0873057991536825,0.0224656051164392,0.0378148851189598,0.0207111442209582,0.0164778424668814,0.0300924466181622,0.040123091107636,0.0381838105421857,0.0188365829374519,0.0230466526469519,0.0204941390927255
