"","total_genusmass","simpson","shannon","richness","Bacteria","Eukaryota","Viruses"
"sample_72",-0.34731150235367,0.909762282987035,2.97066600579043,37,0.256128746949537,0.191551247829399,0
"sample_73",-0.14635031897894,0.684564323106185,2.02545714891642,40,0.584334771000839,0.0567684511507816,0
"sample_74",-1.0397830697051,0.860260618887548,2.97122218532589,20,0.0685608653007745,0.0186131626436996,0
"sample_75",1.58295809940471,0.524102066631745,1.11745837919786,59,30.756335437839,0.184424878441451,7.33457588767695
"sample_76",0.200979554891752,0.877109956500343,2.45003147108474,32,1.41333581044951,0.0535548883262752,0.0592972181551977
"sample_77",-0.114898765344914,0.571710491672961,1.71299637123721,24,0.719934511474648,0.0168548594361875,0.000113954400007293
"sample_78",0.618586997896603,0.737804183028479,2.14184840025904,45,4.12104311858608,0.0063379750889637,9.07499484994042e-05
"sample_79",1.63541976004933,0.496614512506488,0.74343910980253,27,0.00441205785864823,25.2157340815409,17.9636228178181
"sample_80",1.12349597835024,0.269899085824971,0.804071730793712,85,11.8518947948669,1.40405826690301,0
"sample_81",0.14366538584417,0.793470396881249,2.12685665383489,24,1.2869218292786,0.104193421542983,0.000138748243233782
"sample_82",2.35741775766071,0.0561560085228051,0.145629297313058,47,6.4181494805366,0.0773094905133477,221.164462729756
"sample_83",0.0346521969294504,0.861521328143577,2.35627244583741,32,0.826797394570547,0.236162555888719,0
"sample_84",-0.0437506782856001,0.45862503061284,0.970268927804015,7,0.252215714168024,0.64766688066797,4.28080909004125e-05
"sample_85",1.10083483728461,0.494396943900498,1.01992043563777,33,9.27303076933474,0.0566522809987003,3.2703213610586
"sample_86",1.72722476497245,0.749029504889766,1.6956151355133,41,46.6787764572476,0.0447048838479008,0.449115658857302
"sample_87",0.119086799184398,0.0101185402508828,0.053601163342392,1,0.00291395318134659,0.00343652756211432,1.30899973736644
"sample_88",-0.416724029704934,0.754743724730276,2.55446427961144,35,0.369358086827225,0.00773038205764689,0.00272013897096205
"sample_89",0.050295245222155,0.854748108414617,2.61713645316669,52,1.02313164559941,0.0903994669387724,0.00177924626585422
"sample_90",0.62732491335343,0.699728530066061,1.9222083766757,53,1.95718657189613,0.11471369327161,2.16472295576662
"sample_91",0.00143954070496775,0.722661396072825,1.81501225207417,25,0.541314463917792,0.0115601618470107,0.0232342007434944
"sample_92",0.0496321703344555,0.833549265712677,2.58138166687253,47,1.05761528296181,0.0462557591435065,0.000627384479277575
"sample_93",0.915702608982451,0.20095779294164,0.566794220359838,19,8.21951807029249,0.0157791763766398,0.000173800052835216
"sample_94",2.3372881702335,0.788535632787579,1.92551484560797,13,210.59615055877,0,2.65151515151515
"sample_95",2.08665659333993,0.716747327345982,1.75274030755219,48,122.008332351489,0.0655496775838895,0.0032999627298327
"sample_96",-0.955111106822765,0.900533429676201,2.73086534417951,22,0.049170577936761,0.0238319594185507,0.00299667796842358
"sample_97",-1.53687736557023,0.83816647368746,2.12653388737719,8,0.0112446791296656,0.0145565430229809,0.00221760397394632
"sample_98",-0.607373408216607,0.865066438075737,2.89159021722117,24,0.189483766898866,0.0280347597715701,5.99979977811026e-05
"sample_99",2.78598793777022,0.503642636865468,0.988019485254279,7,545.770189391086,0,9.40265486725664
"sample_100",1.85707586153934,0.592428463637352,1.23594719998301,33,31.4029055945391,0.315668198908706,1.12598904443092
"sample_101",-0.242714392461508,0.397463672468103,1.20991731385152,14,0.546956484568047,0.0203472042949059,0.000177868256065782
"sample_102",0.259107803743358,0.756551266614537,1.96205530514298,38,0.665801812663841,0.0143512099449268,0.788426250560835
"sample_103",-1.77777663084624,0.874775106403847,2.55291428687478,5,0.0117492997170338,0.00491810145302798,1.36482549887102e-05
"sample_104",0.205165665251073,0.609228333100104,1.51400500135301,27,1.55754947115128,0.042252806407835,0
